Order ID	Order Date	Order Priority	Order Quantity	Sales	Unit Price	Ship Mode	Shipping Cost	Province	Customer Segment	Product Category	Product Sub-Category	Product Container	Ship Date
54368	11/01/2011	Not Specified	16	79.53	4.97	Regular Air	5.49	Quebec	Small Business	Office Supplies	Paper	Small Box	11/02/2011
5281	11/01/2011	High	14	2718.07	194.15	Regular Air	21.21	Manitoba	Consumer	Furniture	Office Furnishings	Large Box	11/02/2011
55425	11/01/2011	Critical	8	2302.36	287.80	Express Air	7.18	Quebec	Corporate	Technology	Computer Peripherals	Small Box	11/03/2011
55425	11/01/2011	Critical	7	73.86	10.55	Regular Air	9.45	Nova Scotia	Corporate	Office Supplies	Storage & Organization	Small Box	11/02/2011
27106	12/01/2011	High	50	531.48	10.63	Regular Air	1.39	Ontario	Home Office	Office Supplies	Envelopes	Small Box	12/01/2011
27106	12/01/2011	High	42	890.61	21.21	Regular Air	3.63	Ontario	Home Office	Furniture	Office Furnishings	Small Pack	12/03/2011
25248	12/01/2011	Medium	33	271.14	8.22	Express Air	1.99	British Columbia	Small Business	Technology	Computer Peripherals	Small Pack	12/03/2011
27106	12/01/2011	High	29	3524.55	121.54	Delivery Truck	30	Ontario	Home Office	Furniture	Chairs & Chairmats	Jumbo Drum	12/03/2011
25248	12/01/2011	Medium	26	1150.3	44.24	Regular Air	5.81	British Columbia	Small Business	Office Supplies	Paper	Small Box	12/02/2011
27106	12/01/2011	High	10	64.19	6.42	Regular Air	1.5	Ontario	Home Office	Office Supplies	Pens & Art Supplies	Wrap Bag	12/03/2011
27106	12/01/2011	High	1	13.96	13.96	Regular Air	2.99	Ontario	Home Office	Office Supplies	Binders and Binder Accessories	Small Box	12/03/2011
24033	01/02/2011	High	50	1227.18	24.54	Delivery Truck	15.68	Manitoba	Consumer	Furniture	Office Furnishings	Jumbo Drum	01/04/2011
10144	01/02/2011	Critical	24	6408.3	267.01	Delivery Truck	35.67	British Columbia	Corporate	Furniture	Tables	Jumbo Box	01/02/2011
10436	01/02/2011	Low	24	138.75	5.78	Regular Air	1	Quebec	Corporate	Office Supplies	Pens & Art Supplies	Wrap Bag	01/09/2011
10144	01/02/2011	Critical	16	5403.75	337.73	Delivery Truck	58.92	British Columbia	Corporate	Furniture	Chairs & Chairmats	Jumbo Drum	01/04/2011
10144	01/02/2011	Critical	1	192.49	192.49	Delivery Truck	30	British Columbia	Corporate	Furniture	Chairs & Chairmats	Jumbo Drum	01/04/2011
21639	02/02/2011	Not Specified	38	7814.59	205.65	Regular Air	11.54	Yukon	Home Office	Furniture	Office Furnishings	Large Box	02/02/2011
33958	02/02/2011	Critical	27	462,366	17124.67	Regular Air	3.3	Nova Scotia	Small Business	Technology	Telephones and Communication	Small Pack	02/04/2011
21639	02/02/2011	Not Specified	24	145.15	6.05	Regular Air	9.92	Yukon	Home Office	Office Supplies	Binders and Binder Accessories	Small Box	02/04/2011
21639	02/02/2011	Not Specified	23	158.99	6.91	Regular Air	9.69	Yukon	Home Office	Office Supplies	Storage & Organization	Small Box	02/02/2011
45543	02/02/2011	Low	16	1223.43	76.46	Delivery Truck	89.3	Ontario	Corporate	Furniture	Tables	Jumbo Box	02/06/2011
33958	02/02/2011	Critical	14	336.48	24.03	Regular Air	5.37	Nova Scotia	Small Business	Office Supplies	Pens & Art Supplies	Small Box	02/04/2011
12326	02/02/2011	Critical	4	123.82	30.96	Regular Air	57.87	Ontario	Small Business	Furniture	Office Furnishings	Small Box	02/04/2011
21639	02/02/2011	Not Specified	3	131.5	43.83	Regular Air	9.2	Yukon	Home Office	Furniture	Office Furnishings	Wrap Bag	02/03/2011
40165	03/02/2011	High	50	421.36	8.43	Regular Air	4.5	Quebec	Consumer	Office Supplies	Appliances	Small Box	03/05/2011
16642	03/02/2011	Not Specified	46	7,640,225	166091.85	Regular Air	2.5	Yukon	Corporate	Technology	Telephones and Communication	Small Box	03/04/2011
46115	03/02/2011	Critical	38	491.78	12.94	Regular Air	6.47	Quebec	Small Business	Office Supplies	Paper	Small Box	03/02/2011
46115	03/02/2011	Critical	35	677.43	19.36	Regular Air	4	Quebec	Small Business	Technology	Computer Peripherals	Small Box	03/04/2011
33824	03/02/2011	Critical	19	50.99	2.68	Regular Air	1.34	Alberta	Corporate	Office Supplies	Pens & Art Supplies	Wrap Bag	03/03/2011
58372	04/02/2011	Low	48	184.1	3.84	Regular Air	0.7	Nova Scotia	Corporate	Office Supplies	Pens & Art Supplies	Wrap Bag	04/07/2011
28805	04/02/2011	Medium	46	487.5	10.60	Regular Air	4.68	Ontario	Corporate	Office Supplies	Scissors, Rulers and Trimmers	Small Pack	04/04/2011
12323	04/02/2011	Not Specified	32	513.74	16.05	Regular Air	10.13	Ontario	Corporate	Office Supplies	Binders and Binder Accessories	Small Box	04/03/2011
55715	04/02/2011	Critical	28	168.57	6.02	Express Air	2.99	Northwest Territories	Corporate	Office Supplies	Binders and Binder Accessories	Small Box	04/04/2011
58372	04/02/2011	Low	16	38.2	2.39	Express Air	1	Ontario	Corporate	Office Supplies	Pens & Art Supplies	Wrap Bag	04/06/2011
28805	04/02/2011	Medium	14	97.93	7.00	Regular Air	49	Ontario	Corporate	Office Supplies	Appliances	Large Box	04/04/2011
28805	04/02/2011	Medium	4	25.52	6.38	Regular Air	1.49	Ontario	Corporate	Office Supplies	Binders and Binder Accessories	Small Box	04/04/2011
12323	04/02/2011	Not Specified	4	36.8	9.20	Regular Air	5.21	Ontario	Corporate	Furniture	Office Furnishings	Small Box	04/04/2011
10695	05/02/2011	High	39	6,330,086	162309.90	Regular Air	2.5	Manitoba	Corporate	Technology	Telephones and Communication	Small Box	05/03/2011
2978	05/02/2011	Critical	36	5410.95	150.30	Regular Air	19.99	Yukon	Corporate	Office Supplies	Envelopes	Small Box	05/04/2011
2978	05/02/2011	Critical	34	62,641,855	1842407.50	Regular Air	19.99	Yukon	Corporate	Technology	Telephones and Communication	Small Box	05/03/2011
2978	05/02/2011	Critical	28	46,711,495	1668267.68	Regular Air	4.2	Ontario	Corporate	Technology	Telephones and Communication	Small Box	05/03/2011
42725	05/02/2011	Medium	18	231.06	12.84	Regular Air	6.13	Alberta	Corporate	Office Supplies	Storage & Organization	Small Box	05/03/2011
32929	05/02/2011	Low	13	152.14	11.70	Regular Air	4.81	New Brunswick	Corporate	Office Supplies	Storage & Organization	Small Box	05/07/2011
32929	05/02/2011	Low	8	44.56	5.57	Regular Air	1.39	New Brunswick	Corporate	Office Supplies	Envelopes	Small Box	05/06/2011
39457	06/02/2011	Critical	40	4842.21	121.06	Delivery Truck	70.2	Northwest Territories	Home Office	Furniture	Chairs & Chairmats	Jumbo Drum	06/02/2011
57063	06/02/2011	Medium	26	173.78	6.68	Regular Air	7.49	Alberta	Small Business	Office Supplies	Paper	Small Box	06/02/2011
57063	06/02/2011	Medium	22	41.18	1.87	Regular Air	0.79	Alberta	Small Business	Office Supplies	Rubber Bands	Wrap Bag	06/04/2011
8996	06/02/2011	Low	13	7,722,675	594051.92	Regular Air	8.99	Manitoba	Corporate	Technology	Telephones and Communication	Small Box	06/06/2011
38950	07/02/2011	Not Specified	39	74	1.90	Regular Air	0.76	New Brunswick	Small Business	Office Supplies	Rubber Bands	Wrap Bag	07/03/2011
38950	07/02/2011	Not Specified	30	288.45	9.62	Regular Air	3.98	New Brunswick	Small Business	Office Supplies	Scissors, Rulers and Trimmers	Small Pack	07/05/2011
38950	07/02/2011	Not Specified	24	109.23	4.55	Regular Air	6.21	New Brunswick	Small Business	Office Supplies	Binders and Binder Accessories	Small Box	07/03/2011
32129	07/02/2011	Critical	20	129.27	6.46	Regular Air	8.74	British Columbia	Consumer	Office Supplies	Paper	Small Box	07/03/2011
31844	07/02/2011	Not Specified	14	2085.93	149.00	Delivery Truck	66.27	Alberta	Small Business	Furniture	Bookcases	Jumbo Box	07/02/2011
50405	07/02/2011	Medium	8	876.01	109.50	Regular Air	8.64	Manitoba	Small Business	Office Supplies	Storage & Organization	Small Box	07/02/2011
32129	07/02/2011	Critical	4	8467.68	2116.92	Delivery Truck	14.7	British Columbia	Consumer	Technology	Office Machines	Jumbo Drum	07/04/2011
5799	08/02/2011	Critical	34	9626.86	283.14	Delivery Truck	42.52	Nova Scotia	Small Business	Office Supplies	Appliances	Jumbo Drum	08/04/2011
20448	08/02/2011	Critical	23	104.82	4.56	Express Air	2.5	British Columbia	Corporate	Office Supplies	Envelopes	Small Box	08/03/2011
17345	08/02/2011	Critical	23	195.61	8.50	Regular Air	5.83	Saskachewan	Small Business	Office Supplies	Paper	Wrap Bag	08/04/2011
16356	08/02/2011	Critical	6	157.94	26.32	Express Air	4.5	Yukon	Corporate	Office Supplies	Appliances	Small Box	08/03/2011
8578	09/02/2011	High	40	366.87	9.17	Regular Air	5.71	New Brunswick	Corporate	Furniture	Office Furnishings	Small Box	09/03/2011
27778	09/02/2011	Critical	34	4805.92	141.35	Delivery Truck	36.09	Northwest Territories	Corporate	Furniture	Bookcases	Jumbo Box	09/04/2011
9027	09/02/2011	Low	30	932,892	31096.40	Regular Air	0.99	Prince Edward Island	Consumer	Technology	Telephones and Communication	Small Pack	09/11/2011
40896	09/02/2011	Not Specified	21	155.73	7.42	Express Air	1.71	Newfoundland	Corporate	Office Supplies	Paper	Wrap Bag	09/03/2011
27778	09/02/2011	Critical	10	6350.29	635.03	Regular Air	24.49	Manitoba	Corporate	Technology	Copiers and Fax	Large Box	09/04/2011
27778	09/02/2011	Critical	1	232.67	232.67	Regular Air	15.01	Northwest Territories	Corporate	Office Supplies	Binders and Binder Accessories	Small Box	09/04/2011
44965	10/02/2011	Low	45	75.39	1.68	Regular Air	0.7	Saskachewan	Corporate	Office Supplies	Pens & Art Supplies	Wrap Bag	10/06/2011
29317	10/02/2011	Not Specified	40	7789.63	194.74	Delivery Truck	23.76	Alberta	Corporate	Furniture	Chairs & Chairmats	Jumbo Drum	10/04/2011
29317	10/02/2011	Not Specified	31	140.69	4.54	Regular Air	0.7	Alberta	Corporate	Office Supplies	Rubber Bands	Wrap Bag	10/02/2011
3460	10/02/2011	High	27	153.23	5.68	Regular Air	4.69	Ontario	Consumer	Office Supplies	Storage & Organization	Small Box	10/04/2011
49223	10/02/2011	Medium	24	238.25	9.93	Regular Air	7.28	Nova Scotia	Corporate	Office Supplies	Storage & Organization	Small Box	10/02/2011
29317	10/02/2011	Not Specified	20	15703.82	785.19	Delivery Truck	16.06	Alberta	Corporate	Technology	Office Machines	Jumbo Drum	10/03/2011
44965	10/02/2011	Low	19	28.82	1.52	Regular Air	0.7	Saskachewan	Corporate	Office Supplies	Rubber Bands	Wrap Bag	10/06/2011
47236	10/02/2011	High	1	70.91	70.91	Regular Air	3.5	Ontario	Home Office	Office Supplies	Appliances	Small Box	10/04/2011
36	11/02/2011	Critical	46	24,847,455	540162.07	Regular Air	4.2	Alberta	Home Office	Technology	Telephones and Communication	Small Box	11/02/2011
56577	11/02/2011	Critical	30	7497.08	249.90	Delivery Truck	54.12	Yukon	Small Business	Furniture	Tables	Jumbo Box	11/03/2011
34179	11/02/2011	Not Specified	21	293.27	13.97	Regular Air	1.99	Alberta	Corporate	Technology	Computer Peripherals	Small Pack	11/04/2011
55206	11/02/2011	Medium	20	52.7	2.64	Express Air	4.79	Quebec	Home Office	Office Supplies	Binders and Binder Accessories	Small Box	11/03/2011
56577	11/02/2011	Critical	19	1134.2	59.69	Delivery Truck	36.61	Alberta	Small Business	Furniture	Bookcases	Jumbo Box	11/04/2011
33510	12/02/2011	High	42	267.06	6.36	Regular Air	5.22	Ontario	Corporate	Furniture	Office Furnishings	Small Box	12/03/2011
37667	12/02/2011	High	31	472.35	15.24	Regular Air	6.46	Saskachewan	Consumer	Office Supplies	Binders and Binder Accessories	Small Box	12/03/2011
14563	12/02/2011	Critical	31	9,530,455	307434.03	Regular Air	5.99	Alberta	Corporate	Technology	Telephones and Communication	Wrap Bag	12/03/2011
32065	12/02/2011	Medium	25	450.28	18.01	Regular Air	8.51	Quebec	Corporate	Technology	Office Machines	Medium Box	12/03/2011
45376	12/02/2011	Critical	19	6648.58	349.93	Delivery Truck	99	Quebec	Consumer	Office Supplies	Storage & Organization	Jumbo Drum	12/03/2011
33510	12/02/2011	High	11	449.79	40.89	Regular Air	17.48	Ontario	Corporate	Office Supplies	Paper	Small Box	12/02/2011
4006	01/03/2011	Medium	38	1441.61	37.94	Regular Air	5.08	Ontario	Corporate	Office Supplies	Paper	Wrap Bag	01/04/2011
9221	01/03/2011	Low	25	1527.42	61.10	Regular Air	19.99	Alberta	Consumer	Office Supplies	Envelopes	Small Box	01/07/2011
25188	01/03/2011	Medium	20	15,641,615	782080.75	Regular Air	2.5	Quebec	Home Office	Technology	Telephones and Communication	Small Box	01/05/2011
9221	01/03/2011	Low	9	79.64	8.85	Regular Air	49	Alberta	Consumer	Office Supplies	Appliances	Large Box	01/07/2011
38784	02/03/2011	Medium	50	298.12	5.96	Regular Air	0.5	British Columbia	Home Office	Office Supplies	Labels	Small Box	02/05/2011
40102	02/03/2011	Medium	46	412.37	8.96	Express Air	3.5	Alberta	Corporate	Office Supplies	Appliances	Small Box	02/05/2011
45059	02/03/2011	Not Specified	39	3401.8	87.23	Express Air	19.99	Nova Scotia	Consumer	Office Supplies	Storage & Organization	Small Box	02/05/2011
45059	02/03/2011	Not Specified	35	1327.59	37.93	Express Air	2.9	Nova Scotia	Consumer	Office Supplies	Pens & Art Supplies	Small Pack	02/04/2011
21057	02/03/2011	Low	28	1103.67	39.42	Regular Air	1.99	Quebec	Corporate	Technology	Computer Peripherals	Small Pack	02/10/2011
45059	02/03/2011	Not Specified	4	130.14	32.54	Regular Air	8.65	Ontario	Consumer	Technology	Computer Peripherals	Small Box	02/05/2011
22433	03/03/2011	Critical	44	797.98	18.14	Regular Air	0.99	Yukon	Home Office	Technology	Telephones and Communication	Wrap Bag	03/05/2011
47525	03/03/2011	Medium	40	649.46	16.24	Regular Air	4	British Columbia	Small Business	Technology	Computer Peripherals	Small Box	03/04/2011
26723	03/03/2011	Low	8	4,418,045	552255.63	Regular Air	7.69	Alberta	Consumer	Technology	Telephones and Communication	Small Box	03/08/2011
48071	03/03/2011	Low	1	22.74	22.74	Express Air	4.98	Nova Scotia	Home Office	Furniture	Office Furnishings	Small Pack	03/12/2011
38370	04/03/2011	High	50	169.13	3.38	Regular Air	1.14	Ontario	Corporate	Office Supplies	Paper	Wrap Bag	04/05/2011
45377	04/03/2011	Low	47	91.43	1.95	Regular Air	1.49	British Columbia	Home Office	Office Supplies	Binders and Binder Accessories	Small Box	04/05/2011
9922	04/03/2011	Not Specified	26	1075.91	41.38	Regular Air	7.12	Saskachewan	Consumer	Technology	Computer Peripherals	Small Box	04/04/2011
9286	04/03/2011	Critical	26	123.16	4.74	Regular Air	0.8	Alberta	Consumer	Office Supplies	Paper	Wrap Bag	04/05/2011
9922	04/03/2011	Not Specified	24	6408.3	267.01	Delivery Truck	35.67	Nova Scotia	Consumer	Furniture	Tables	Jumbo Box	04/04/2011
9922	04/03/2011	Not Specified	21	1,176,859	56040.90	Regular Air	3.99	Saskachewan	Consumer	Technology	Telephones and Communication	Small Box	04/04/2011
33925	05/03/2011	Low	47	1488.86	31.68	Regular Air	19.99	Alberta	Home Office	Office Supplies	Paper	Small Box	05/07/2011
41539	05/03/2011	High	41	23,037,125	561881.10	Regular Air	8.99	British Columbia	Consumer	Technology	Telephones and Communication	Small Box	05/04/2011
5696	05/03/2011	Critical	40	621.12	15.53	Regular Air	2.99	Manitoba	Consumer	Office Supplies	Binders and Binder Accessories	Small Box	05/05/2011
5696	05/03/2011	Critical	31	175.92	5.67	Regular Air	3.85	Manitoba	Consumer	Technology	Computer Peripherals	Small Pack	05/05/2011
44871	05/03/2011	Critical	27	94.46	3.50	Regular Air	4.2	Manitoba	Home Office	Office Supplies	Pens & Art Supplies	Wrap Bag	05/05/2011
41539	05/03/2011	High	24	41.85	1.74	Express Air	1.29	British Columbia	Consumer	Office Supplies	Pens & Art Supplies	Wrap Bag	05/05/2011
44960	05/03/2011	Low	22	180.92	8.22	Regular Air	6.14	Ontario	Consumer	Office Supplies	Scissors, Rulers and Trimmers	Small Pack	05/03/2011
44960	05/03/2011	Low	17	31.68	1.86	Regular Air	1.99	Ontario	Consumer	Technology	Computer Peripherals	Small Pack	05/07/2011
44960	05/03/2011	Low	16	112.91	7.06	Regular Air	8.4	Ontario	Consumer	Office Supplies	Paper	Small Box	05/05/2011
35584	05/03/2011	Medium	15	150.33	10.02	Express Air	9.45	Ontario	Corporate	Office Supplies	Storage & Organization	Small Box	05/03/2011
5696	05/03/2011	Critical	4	2206.17	551.54	Regular Air	19.99	Manitoba	Consumer	Office Supplies	Binders and Binder Accessories	Small Box	05/05/2011
37505	06/03/2011	Low	42	384.41	9.15	Regular Air	5.76	British Columbia	Home Office	Technology	Office Machines	Medium Box	06/08/2011
326	06/03/2011	High	34	218.27	6.42	Regular Air	4.92	Quebec	Consumer	Office Supplies	Binders and Binder Accessories	Small Box	06/04/2011
8006	06/03/2011	Medium	27	197.15	7.30	Express Air	5.2	Ontario	Consumer	Office Supplies	Paper	Small Box	06/05/2011
44579	06/03/2011	Not Specified	19	3896.39	205.07	Regular Air	18.06	Ontario	Small Business	Furniture	Chairs & Chairmats	Large Box	06/04/2011
50117	06/03/2011	Critical	17	47.44	2.79	Regular Air	0.5	Northwest Territories	Small Business	Office Supplies	Labels	Small Box	06/05/2011
326	06/03/2011	High	17	100.95	5.94	Regular Air	3.37	Quebec	Consumer	Office Supplies	Rubber Bands	Wrap Bag	06/04/2011
37505	06/03/2011	Low	9	2007.24	223.03	Express Air	11.79	British Columbia	Home Office	Office Supplies	Appliances	Medium Box	06/05/2011
37505	06/03/2011	Low	1	29.19	29.19	Regular Air	12.39	British Columbia	Home Office	Office Supplies	Envelopes	Small Box	06/05/2011
11876	07/03/2011	High	47	5051.89	107.49	Regular Air	5.81	Ontario	Home Office	Furniture	Office Furnishings	Medium Box	07/06/2011
29569	07/03/2011	High	46	27720.98	602.63	Regular Air	24.49	Alberta	Consumer	Technology	Copiers and Fax	Large Box	07/04/2011
22727	07/03/2011	Not Specified	45	296.82	6.60	Regular Air	6.65	Saskachewan	Corporate	Office Supplies	Paper	Small Box	07/03/2011
29986	07/03/2011	Critical	40	1477.39	36.93	Regular Air	2.99	British Columbia	Corporate	Office Supplies	Binders and Binder Accessories	Small Box	07/03/2011
36675	07/03/2011	High	39	113.09	2.90	Regular Air	0.81	Ontario	Small Business	Office Supplies	Pens & Art Supplies	Wrap Bag	07/06/2011
3393	07/03/2011	High	33	325.92	9.88	Regular Air	7.29	Nova Scotia	Consumer	Furniture	Office Furnishings	Small Pack	07/03/2011
29569	07/03/2011	High	29	520.13	17.94	Regular Air	5.21	Alberta	Consumer	Office Supplies	Paper	Small Box	07/05/2011
3393	07/03/2011	High	7	127.74	18.25	Express Air	4	Nova Scotia	Consumer	Technology	Computer Peripherals	Small Box	07/04/2011
52160	07/03/2011	Critical	6	631,499	105249.83	Regular Air	8.08	Manitoba	Corporate	Technology	Telephones and Communication	Small Box	07/05/2011
52160	07/03/2011	Critical	5	15.6	3.12	Express Air	0.78	Manitoba	Corporate	Office Supplies	Rubber Bands	Wrap Bag	07/06/2011
48512	08/03/2011	Not Specified	48	238.79	4.97	Regular Air	4.72	British Columbia	Consumer	Office Supplies	Paper	Small Box	08/04/2011
